[INFO] 檢查輸入檔案是否存在...
[INFO] 檢查/建立輸出目錄...
[INFO] 載入資料...
[INFO] 建立帳戶層級特徵...
[INFO] 建立帳戶層級特徵...
[INFO] 建立標籤...
[INFO] 切分資料...
[INFO] 建立前處理 pipeline...
[INFO] 正樣本數=614, 負樣本數=654905
[INFO] scale_pos_weight = 1066.62
Iter 1/10 | Best AUC=0.9797
Iter 2/10 | Best AUC=0.9802
Iter 3/10 | Best AUC=0.9802
Iter 4/10 | Best AUC=0.9803
Iter 5/10 | Best AUC=0.9803
Iter 6/10 | Best AUC=0.9803
Iter 7/10 | Best AUC=0.9803
Iter 8/10 | Best AUC=0.9803
Iter 9/10 | Best AUC=0.9804
Iter 10/10 | Best AUC=0.9804
[INFO] PSO 最佳參數: [3.         0.01       0.6        1.         2.40152622 0.17692891]
[INFO] PSO 最佳 AUC: 0.9804
[0]	validation_0-auc:0.94859	validation_0-logloss:0.68556
[1]	validation_0-auc:0.94937	validation_0-logloss:0.67819
[2]	validation_0-auc:0.96405	validation_0-logloss:0.67090
[3]	validation_0-auc:0.96480	validation_0-logloss:0.66376
[4]	validation_0-auc:0.96412	validation_0-logloss:0.65668
[5]	validation_0-auc:0.96643	validation_0-logloss:0.64993
[6]	validation_0-auc:0.96661	validation_0-logloss:0.64323
[7]	validation_0-auc:0.96610	validation_0-logloss:0.63669
[8]	validation_0-auc:0.96535	validation_0-logloss:0.63011
[9]	validation_0-auc:0.96474	validation_0-logloss:0.62364
[10]	validation_0-auc:0.96503	validation_0-logloss:0.61749
[11]	validation_0-auc:0.96529	validation_0-logloss:0.61131
[12]	validation_0-auc:0.96666	validation_0-logloss:0.60547
[13]	validation_0-auc:0.96527	validation_0-logloss:0.59951
[14]	validation_0-auc:0.96557	validation_0-logloss:0.59380
[15]	validation_0-auc:0.96732	validation_0-logloss:0.58812
[16]	validation_0-auc:0.96691	validation_0-logloss:0.58258
[17]	validation_0-auc:0.96651	validation_0-logloss:0.57697
[18]	validation_0-auc:0.96732	validation_0-logloss:0.57176
[19]	validation_0-auc:0.96792	validation_0-logloss:0.56627
